역명,TZ_AREA_XCRDT_VAL,TZ_AREA_YCRDT_VAL
다대포해수욕장,128.965339921,35.050268121
다대포항,128.971289578,35.057728923
낫개,128.992370466,35.050864633
신장림,128.978173924,35.072812964
장림,128.981961169,35.078849677
동매,128.970954918,35.088275049
신평,128.960564767,35.091202363
하단,128.966655081,35.105667433
당리,128.973158723,35.104463413
사하,128.982843458,35.101076844
괴정,128.99136279,35.100614811
대티,128.999788387,35.101947602
서대신,129.0108423,35.1111641
동대신,129.01854171,35.111166043
토성,129.020512193,35.101131145
자갈치,129.030693294,35.097037588
남포,129.02934276,35.098247952
중앙,129.035990695,35.103394264
부산역,129.0484389,35.1196519
초량,129.0484389,35.1196519
부산진,129.048908117,35.12924683
좌천,129.054423413,35.133198518
범일,129.060992703,35.138713332
범내골,129.060450373,35.149632145
서면,129.060896156,35.159111035
부전,129.065907694,35.165316081
양정,129.072294784,35.172627775
시청,129.075092136,35.179819016
연산,129.079731124,35.188782505
교대,129.080759647,35.194797716
동래,129.07938696,35.21016155
명륜,129.0823462,35.2139166
온천장,129.085210688,35.219960643
부산대,129.087677495,35.230440304
장전,129.088116542,35.238032397
구서,129.090560365,35.250228466
두실,129.09193279,35.257142003
남산,129.092497944,35.265267976
범어사,129.093140669,35.273051693
노포,129.098626245,35.284793583
장산,129.17624177,35.171104585
중동,129.168403944,35.165414847
해운대,129.157922825,35.163550873
동백,129.143307599,35.162463699
벡스코,129.137560035,35.164100031
센텀시티,129.132363834,35.169278007
민락,129.120344757,35.166700511
수영,129.113481094,35.158026861
광안,129.113481094,35.158026861
금련산,129.109968532,35.149666744
남천,129.108422413,35.142141234
경성대·부경대,129.100452999,35.136952674
대연,129.092212202,35.135369161
못골,129.08495263,35.136084079
지게골,129.073851095,35.136539798
문현,129.067961739,35.139346591
국제금융센터·부산은행,129.067210829,35.1458911
전포,129.063668463,35.153336284
서면,129.057649873,35.16126036
부암,129.049938957,35.156978624
가야,129.042790238,35.156334568
동의대,129.033038411,35.1531333
개금,129.018150309,35.152896091
냉정,129.012100521,35.150574601
주례,129.001752837,35.149711085
감전,128.990916197,35.152648061
사상,128.983850642,35.162576368
덕포,128.981979122,35.173936853
모덕,128.985364975,35.178586179
모라,128.989183129,35.189480999
구남,128.995730482,35.197479427
구명,128.999851344,35.202235158
덕천,129.007008392,35.211082291
수정,129.009225889,35.219479263
화명,129.014859702,35.235972236
율리,129.033886968,35.248771469
동원,129.011787436,35.256319381
금곡,129.011787436,35.256319381
수영,129.1135987,35.1681028
망미,129.107426303,35.170784754
배산,129.095124505,35.173101399
물만골,129.086034811,35.177720894
연산,129.079731124,35.188782505
거제,129.074116126,35.187461179
종합운동장,129.068330815,35.19173501
사직,129.064499907,35.197722722
미남,129.069054294,35.205276134
만덕,129.046668814,35.213101422
남산정,129.023976331,35.213858439
숙등,129.011706609,35.212280009
덕천,129.007008392,35.211082291
구포,128.99784404,35.206727985
강서구청,128.979895383,35.207760513
체육공원,128.953795057,35.201519695
대저,128.953795057,35.201519695
미남,129.070102962,35.20694418
동래,129.07938696,35.21016155
수안,129.083415129,35.200596808
낙민,129.089851319,35.200114472
충렬사,129.095093528,35.200427845
명장,129.100527862,35.204907598
서동,129.107522029,35.213630207
금사,129.116053678,35.219923767
반여농산물시장,129.130664087,35.222776902
석대,129.130664087,35.222776902
영산대,129.146598303,35.223149734
윗반송,129.152082259,35.233008323
고촌,129.165042859,35.248754679
안평,129.179355142,35.234546129
